basement	county	uranium	radon
N	AITKIN	0.502054	0.832909123
Y	AITKIN	0.502054	0.09531018
Y	AITKIN	0.502054	0.832909123
Y	AITKIN	0.502054	1.098612289
N	ANOKA	0.428565	-1.203972804
N	ANOKA	0.428565	0.182321557
Y	ANOKA	0.428565	-0.693147181
Y	ANOKA	0.428565	-0.356674944
Y	ANOKA	0.428565	-0.223143551
Y	ANOKA	0.428565	0.09531018
Y	ANOKA	0.428565	0.262364264
Y	ANOKA	0.428565	0.262364264
Y	ANOKA	0.428565	0.336472237
Y	ANOKA	0.428565	0.336472237
Y	ANOKA	0.428565	0.405465108
Y	ANOKA	0.428565	0.405465108
Y	ANOKA	0.428565	0.405465108
Y	ANOKA	0.428565	0.470003629
Y	ANOKA	0.428565	0.587786665
Y	ANOKA	0.428565	0.587786665
Y	ANOKA	0.428565	0.641853886
Y	ANOKA	0.428565	0.641853886
Y	ANOKA	0.428565	0.641853886
Y	ANOKA	0.428565	0.693147181
Y	ANOKA	0.428565	0.693147181
Y	ANOKA	0.428565	0.78845736
Y	ANOKA	0.428565	0.832909123
Y	ANOKA	0.428565	0.832909123
Y	ANOKA	0.428565	0.875468737
Y	ANOKA	0.428565	0.916290732
Y	ANOKA	0.428565	0.955511445
Y	ANOKA	0.428565	1.064710737
Y	ANOKA	0.428565	1.098612289
Y	ANOKA	0.428565	1.098612289
Y	ANOKA	0.428565	1.16315081
Y	ANOKA	0.428565	1.16315081
Y	ANOKA	0.428565	1.223775432
Y	ANOKA	0.428565	1.223775432
Y	ANOKA	0.428565	1.410986974
Y	ANOKA	0.428565	1.458615023
Y	ANOKA	0.428565	1.504077397
Y	ANOKA	0.428565	1.526056303
Y	ANOKA	0.428565	1.526056303
Y	ANOKA	0.428565	1.667706821
Y	ANOKA	0.428565	1.791759469
Y	ANOKA	0.428565	1.85629799
Y	ANOKA	0.428565	1.902107526
Y	ANOKA	0.428565	1.931521412
Y	ANOKA	0.428565	1.960094784
Y	ANOKA	0.428565	2.054123734
Y	ANOKA	0.428565	2.104134154
N	BECKER	0.892741	1.526056303
Y	BECKER	0.892741	0.262364264
Y	BECKER	0.892741	1.481604541
N	BELTRAMI	0.552472	-0.693147181
N	BELTRAMI	0.552472	1.547562509
Y	BELTRAMI	0.552472	0.832909123
Y	BELTRAMI	0.552472	1.504077397
Y	BELTRAMI	0.552472	1.547562509
Y	BELTRAMI	0.552472	1.757857918
Y	BELTRAMI	0.552472	1.85629799
N	BENTON	0.866849	1.098612289
Y	BENTON	0.866849	1.029619417
Y	BENTON	0.866849	1.098612289
Y	BENTON	0.866849	1.902107526
Y	BIGSTONE	1.47264	0.993251773
Y	BIGSTONE	1.47264	1.62924054
Y	BIGSTONE	1.47264	1.987874348
Y	BLUEEARTH	1.31208	0.641853886
Y	BLUEEARTH	1.31208	1.360976553
Y	BLUEEARTH	1.31208	1.62924054
Y	BLUEEARTH	1.31208	1.774952351
